codes,smr
E01000955,1.11809391
E01000956,1.473804231
E01000957,1.109164642
E01000958,0.928659756
E01000959,0.946043423
E01000960,0.904656167
E01000961,1.733280139
E01000962,0.532641862
E01000963,0.694962844
E01000964,1.575160537
E01000965,0.63499639
E01000966,0.977524721
E01000967,0.504350157
E01000968,0.646044498
E01000969,0.734580377
E01000970,0.962487287
E01000971,0.549632746
E01000972,1.202614248
E01000973,0.846484517
E01000974,1.586796563
E01000975,1.38312861
E01000976,1.342302278
E01000977,2.090814032
E01000978,1.359618763
E01000979,0.84870202
E01000980,2.063018724
E01000981,1.209866202
E01000982,1.373932521
E01000983,1.050612806
E01000984,2.352595978
E01000985,0.727777387
E01000986,1.266634403
E01000987,1.139733185
E01000989,1.127282754
E01000990,2.428637267
E01000991,1.146038969
E01000992,1.965273334
E01000993,1.820600439
E01000994,1.042521905
E01000995,1.544953901
E01000996,1.166533604
E01000997,1.253305169
E01000998,1.838786965
E01000999,1.086649494
E01001000,2.109371603
E01001001,2.399728867
E01001002,1.11036684
E01001003,1.796522945
E01001004,1.28836089
E01001005,1.597410179
E01001006,1.294214002
E01001007,1.063546812
E01001008,0.948600353
E01001009,0.7727983
E01001010,1.60948725
E01001011,1.254885503
E01001012,1.475346268
E01001013,2.148645445
E01001014,1.588887487
E01001015,1.944283355
E01001016,0.963248914
E01001017,0.627818184
E01001018,0.971953377
E01001019,0.535886493
